Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
4,2,410.07,1488.03,21,8,0
4,2,410.07,1488.03,22,8.1,0
4,2,410.07,1488.03,23,8.4,0
4,2,410.07,1488.03,24,8.6,0
4,2,410.07,1488.03,25,8.8,0
4,2,410.07,1488.03,26,9.1,0
4,2,410.07,1488.03,27,9.3,0
4,2,410.07,1488.03,28,10.1,0
4,2,410.07,1488.03,29,10.4,0
4,2,410.07,1488.03,30,11,0
4,2,410.07,1488.03,31,11,0
4,2,410.07,1488.03,32,11.2,0
4,2,410.07,1488.03,33,11.4,0
4,2,410.07,1488.03,34,11.4,0
4,2,410.07,1488.03,35,11.5,0
4,2,410.07,1488.03,36,11.5,0
4,2,410.07,1488.03,37,11.6,0
4,2,410.07,1488.03,38,12,0
4,2,410.07,1488.03,39,12.2,0
4,2,410.07,1488.03,40,12.5,0
11,1,333.38,828.48,1,5.5,0
11,1,333.38,828.48,2,5.5,0
11,1,333.38,828.48,3,5.8,0
11,1,333.38,828.48,4,5.9,0
11,1,333.38,828.48,5,5.9,0
11,1,333.38,828.48,6,6,0
11,1,333.38,828.48,7,6,0
11,1,333.38,828.48,8,6,0
11,1,333.38,828.48,9,6.3,0
11,1,333.38,828.48,10,6.3,0
11,1,333.38,828.48,11,6.5,0
11,1,333.38,828.48,12,6.4,0
11,1,333.38,828.48,13,6.4,0
11,1,333.38,828.48,14,6.5,0
11,1,333.38,828.48,15,6.5,0
11,1,333.38,828.48,16,6.5,0
11,1,333.38,828.48,17,6.7,0
11,1,333.38,828.48,18,7.1,0
11,1,333.38,828.48,19,7.7,0
11,1,333.38,828.48,20,8,0
11,1,333.38,828.48,21,8,0
11,1,333.38,828.48,22,8.1,0
11,1,333.38,828.48,23,8.4,0
11,1,333.38,828.48,24,8.6,0
11,1,333.38,828.48,25,8.8,0
11,1,333.38,828.48,26,9.1,0
11,1,333.38,828.48,27,9.3,0
11,1,333.38,828.48,28,10.1,0
11,1,333.38,828.48,29,10.4,0
11,1,333.38,828.48,30,11,0
11,1,333.38,828.48,31,11,0
11,1,333.38,828.48,32,11.2,0
11,1,333.38,828.48,33,11.4,0
11,1,333.38,828.48,34,11.4,0
11,1,333.38,828.48,35,11.5,0
11,1,333.38,828.48,36,11.5,0
11,1,333.38,828.48,37,11.6,0
11,1,333.38,828.48,38,12,0
11,1,333.38,828.48,39,12.2,0
11,1,333.38,828.48,40,12.5,0
23,2,698.25,1032.91,1,5.5,0
23,2,698.25,1032.91,2,5.5,0
23,2,698.25,1032.91,3,5.8,0
23,2,698.25,1032.91,4,5.9,0
23,2,698.25,1032.91,5,5.9,0
23,2,698.25,1032.91,6,6,0
23,2,698.25,1032.91,7,6,0
23,2,698.25,1032.91,8,6,0
23,2,698.25,1032.91,9,6.3,0
23,2,698.25,1032.91,10,6.3,0
23,2,698.25,1032.91,11,6.5,0
23,2,698.25,1032.91,12,6.4,0
23,2,698.25,1032.91,13,6.4,0
23,2,698.25,1032.91,14,6.5,0
23,2,698.25,1032.91,15,6.5,0
23,2,698.25,1032.91,16,6.5,0
23,2,698.25,1032.91,17,6.7,0
23,2,698.25,1032.91,18,7.1,0
23,2,698.25,1032.91,19,7.7,0
23,2,698.25,1032.91,20,8,0
23,2,698.25,1032.91,21,8,0
23,2,698.25,1032.91,22,8.1,0
23,2,698.25,1032.91,23,8.4,0
23,2,698.25,1032.91,24,8.6,0
23,2,698.25,1032.91,25,8.8,0
23,2,698.25,1032.91,26,9.1,0
23,2,698.25,1032.91,27,9.3,0
23,2,698.25,1032.91,28,10.1,0
23,2,698.25,1032.91,29,10.4,0
23,2,698.25,1032.91,30,11,0
23,2,698.25,1032.91,31,11,0
23,2,698.25,1032.91,32,11.2,0
23,2,698.25,1032.91,33,11.4,0
23,2,698.25,1032.91,34,11.4,0
23,2,698.25,1032.91,35,11.5,0
23,2,698.25,1032.91,36,11.5,0
23,2,698.25,1032.91,37,11.6,0
23,2,698.25,1032.91,38,12,0
23,2,698.25,1032.91,39,12.2,0
23,2,698.25,1032.91,40,12.5,0
46,4,770.58,791.89,1,5.5,0
46,4,770.58,791.89,2,5.5,0
46,4,770.58,791.89,3,5.8,0
46,4,770.58,791.89,4,5.9,0
46,4,770.58,791.89,5,5.9,0
46,4,770.58,791.89,6,6,0
46,4,770.58,791.89,7,6,0
46,4,770.58,791.89,8,6,0
46,4,770.58,791.89,9,6.3,0
46,4,770.58,791.89,10,6.3,0
46,4,770.58,791.89,11,6.5,0
46,4,770.58,791.89,12,6.4,0
46,4,770.58,791.89,13,6.4,0
46,4,770.58,791.89,14,6.5,0
46,4,770.58,791.89,15,6.5,0
46,4,770.58,791.89,16,6.5,0
46,4,770.58,791.89,17,6.7,0
46,4,770.58,791.89,18,7.1,0
46,4,770.58,791.89,19,7.7,0
46,4,770.58,791.89,20,8,0
46,4,770.58,791.89,21,8,0
46,4,770.58,791.89,22,8.1,0
46,4,770.58,791.89,23,8.4,0
46,4,770.58,791.89,24,8.6,0
46,4,770.58,791.89,25,8.8,0
46,4,770.58,791.89,26,9.1,0
46,4,770.58,791.89,27,9.3,0
46,4,770.58,791.89,28,10.1,0
46,4,770.58,791.89,29,10.4,0
46,4,770.58,791.89,30,11,0
46,4,770.58,791.89,31,11,0
46,4,770.58,791.89,32,11.2,0
46,4,770.58,791.89,33,11.4,0
46,4,770.58,791.89,34,11.4,0
46,4,770.58,791.89,35,11.5,0
46,4,770.58,791.89,36,11.5,0
46,4,770.58,791.89,37,11.6,0
46,4,770.58,791.89,38,12,0
46,4,770.58,791.89,39,12.2,0
46,4,770.58,791.89,40,12.5,0
53,5,775.89,1072.93,1,5.5,0
53,5,775.89,1072.93,2,5.5,0
53,5,775.89,1072.93,3,5.8,0
53,5,775.89,1072.93,4,5.9,0
53,5,775.89,1072.93,5,5.9,0
53,5,775.89,1072.93,6,6,0
53,5,775.89,1072.93,7,6,0
53,5,775.89,1072.93,8,6,0
53,5,775.89,1072.93,9,6.3,0
53,5,775.89,1072.93,10,6.3,0
53,5,775.89,1072.93,11,6.5,0
53,5,775.89,1072.93,12,6.4,0
53,5,775.89,1072.93,13,6.4,0
53,5,775.89,1072.93,14,6.5,0
53,5,775.89,1072.93,15,6.5,0
53,5,775.89,1072.93,16,6.5,0
53,5,775.89,1072.93,17,6.7,0
53,5,775.89,1072.93,18,7.1,0
53,5,775.89,1072.93,19,7.7,0
53,5,775.89,1072.93,20,8,0
53,5,775.89,1072.93,21,8,0
53,5,775.89,1072.93,22,8.1,0
53,5,775.89,1072.93,23,8.4,0
53,5,775.89,1072.93,24,8.6,0
53,5,775.89,1072.93,25,8.8,0
53,5,775.89,1072.93,26,9.1,0
53,5,775.89,1072.93,27,9.3,0
53,5,775.89,1072.93,28,10.1,0
53,5,775.89,1072.93,29,10.4,0
53,5,775.89,1072.93,30,11,0
53,5,775.89,1072.93,31,11,0
53,5,775.89,1072.93,32,11.2,0
53,5,775.89,1072.93,33,11.4,0
53,5,775.89,1072.93,34,11.4,0
53,5,775.89,1072.93,35,11.5,0
53,5,775.89,1072.93,36,11.5,0
53,5,775.89,1072.93,37,11.6,0
53,5,775.89,1072.93,38,12,0
53,5,775.89,1072.93,39,12.2,0
53,5,775.89,1072.93,40,12.5,0
54,5,790.35,1786.07,1,5.5,0
54,5,790.35,1786.07,2,5.5,0
54,5,790.35,1786.07,3,5.8,0
54,5,790.35,1786.07,4,5.9,0
54,5,790.35,1786.07,5,5.9,0
54,5,790.35,1786.07,6,6,0
54,5,790.35,1786.07,7,6,0
54,5,790.35,1786.07,8,6,0
54,5,790.35,1786.07,9,6.3,0
54,5,790.35,1786.07,10,6.3,0
54,5,790.35,1786.07,11,6.5,0
54,5,790.35,1786.07,12,6.4,0
54,5,790.35,1786.07,13,6.4,0
54,5,790.35,1786.07,14,6.5,0
